id,location,depth,mag,energy,place,date,time
us7000bjb0,us,154.78,4.5,2.00E+16,"64 km NNE of Port-Olry, Vanuatu",9/7/2020,12:53 PM
us7000bjbe,us,14.9,4.9,5.01E+16,"121 km N of Nurota, Uzbekistan",9/7/2020,2:15 PM
us7000bjbu,us,5,2.7,3.16E+14,"59 km S of Whites City, New Mexico",9/7/2020,4:49 PM
us7000bjc1,us,167.25,4.5,2.00E+16,"186 km NE of Lospalos, Timor Leste",9/7/2020,4:59 PM
us7000bjc7,us,35,3.5,2.00E+15,"5 km WSW of El Valle, Dominican Republic",9/7/2020,5:22 PM
us7000bjci,us,10,5.6,2.51E+17,Easter Island region,9/7/2020,5:40 PM
us7000bjcs,us,10,4.7,3.16E+16,"229 km SSW of Banjar, Indonesia",9/7/2020,5:49 PM
us7000bjdp,us,10,4.6,2.51E+16,"281 km NE of Saipan, Northern Mariana Islands",9/7/2020,6:44 PM
us7000bjem,us,10,4.8,3.98E+16,central Mid-Atlantic Ridge,9/7/2020,9:18 PM
us7000bjex,us,41.16,4.7,3.16E+16,"168 km NNE of Bamboo Flat, India",9/7/2020,9:37 PM
us7000bjg8,us,153.39,4.3,1.26E+16,"33 km W of Murghob, Tajikistan",9/8/2020,12:17 AM
us7000bjgb,us,174.05,5.9,5.01E+17,"197 km SSE of Amahai, Indonesia",9/8/2020,12:45 AM
us7000bji4,us,10,4.4,1.58E+16,"40 km NE of Mohr, Iran",9/8/2020,1:34 AM
us7000bji5,us,10,4.2,1.00E+16,"88 km N of Colonia Emiliano Zapata, Mexico",9/8/2020,1:40 AM
us7000bjid,us,53.14,4.5,2.00E+16,"57 km S of Pelabuhanratu, Indonesia",9/8/2020,2:06 AM
us7000bjiq,us,57.7,5,6.31E+16,"48 km NNW of Nago, Japan",9/8/2020,2:58 AM
us7000bjj1,us,10,4.2,1.00E+16,"Banks Island, Northwest Territories, Canada",9/8/2020,3:56 AM
us7000bjjb,us,10,5,6.31E+16,"189 km WSW of Pariaman, Indonesia",9/8/2020,4:37 AM
us7000bjlb,us,10,5.4,1.58E+17,"127 km NE of Hihifo, Tonga",9/8/2020,8:28 AM
us7000bjlf,us,10,3.9,5.01E+15,"2 km WSW of Pitstone, United Kingdom",9/8/2020,8:45 AM
us7000bjly,us,10,4.3,1.26E+16,"80 km NW of Coquimbo, Chile",9/8/2020,9:35 AM
us7000bjmf,us,10,4.3,1.26E+16,"237 km W of Attu Station, Alaska",9/8/2020,10:05 AM
us7000bjmq,us,10,4.7,3.16E+16,"14 km E of Sincik, Turkey",9/8/2020,10:44 AM
us7000bjpy,us,15.53,3.1,7.94E+14,"25 km NW of Stanley, Idaho",9/8/2020,12:24 PM
us7000bjq1,us,10,4.2,1.00E+16,"16 km NNE of Sincik, Turkey",9/8/2020,12:39 PM
us7000bjq6,us,10,4.5,2.00E+16,"103 km ESE of East End, Cayman Islands",9/8/2020,1:00 PM
us7000bjqi,us,5,1.6,2.51E+13,"16 km S of Stonewall Gap, Colorado",9/7/2020,3:33 AM
us7000bjqs,us,5,1.9,5.01E+13,"11 km SE of Stonewall Gap, Colorado",9/7/2020,9:35 AM
us7000bjqz,us,92.86,4.1,7.94E+15,"243 km ESE of Attu Station, Alaska",9/8/2020,1:43 PM
us7000bjr1,us,5,1.8,3.98E+13,"15 km S of Stonewall Gap, Colorado",9/7/2020,2:42 PM
us7000bjr9,us,5,1,6.31E+12,"15 km SSE of Stonewall Gap, Colorado",9/7/2020,5:02 AM
us7000bjrp,us,5,2.4,1.58E+14,"34 km NNW of Stanley, Idaho",9/8/2020,7:26 AM
us7000bjrt,us,5,4.2,1.00E+16,"13 km N of Sincik, Turkey",9/8/2020,3:06 PM
us7000bjs0,us,10,2.5,2.00E+14,"8 km SSW of Stanley, Idaho",9/8/2020,6:47 AM
us7000bjtj,us,10,2.9,5.01E+14,"22 km WNW of Stanley, Idaho",9/8/2020,4:32 PM
us7000bjyq,us,10,4,6.31E+15,"39 km NNW of Stanley, Idaho",9/8/2020,8:23 PM
us7000bjzi,us,10,4.4,1.58E+16,"39 km NNW of Stanley, Idaho",9/8/2020,8:24 PM
us7000bjzs,us,13.11,3.2,1.00E+15,"32 km NW of Stanley, Idaho",9/8/2020,8:38 PM
us7000bjzy,us,10,3,6.31E+14,"31 km NNW of Stanley, Idaho",9/8/2020,8:42 PM
us7000bk03,us,17.21,1.3,1.26E+13,"9 km SSW of Brownsburg-Chatham, Canada",9/7/2020,12:05 AM
us7000bk26,us,12.67,2.6,2.51E+14,"37 km NW of Stanley, Idaho",9/8/2020,9:50 PM
us7000bk2a,us,6.78,2.7,3.16E+14,"48 km NW of Toyah, Texas",9/7/2020,1:18 AM
us7000bk2g,us,10,4.3,1.26E+16,"20 km NW of Marmara, Turkey",9/8/2020,9:57 PM
us7000bk2y,us,25.01,4.4,1.58E+16,"46 km WNW of Ovalle, Chile",9/8/2020,10:26 PM
us7000bk4d,us,80.77,3.9,5.01E+15,"69 km S of King Cove, Alaska",9/8/2020,11:36 PM
us7000bk5e,us,5,1.2,1.00E+13,"2 km WSW of Long Island, Maine",9/8/2020,1:20 AM
us7000bk6b,us,35,5.4,1.58E+17,"195 km SE of Sarangani, Philippines",9/9/2020,3:41 AM
us7000bk7f,us,5,3.1,7.94E+14,"2 km SSE of East Freehold, New Jersey",9/9/2020,6:00 AM
us7000bk82,us,18,5.8,3.98E+17,"185 km SE of Sarangani, Philippines",9/9/2020,7:18 AM
us7000bk9q,us,43.8,4.5,2.00E+16,"195 km SE of Sarangani, Philippines",9/9/2020,8:51 AM
us7000bk9w,us,21.12,4.4,1.58E+16,"23 km SSW of El Coyul, Mexico",9/9/2020,9:16 AM
us7000bka9,us,68.54,4.2,1.00E+16,"129 km ESE of Nabire, Indonesia",9/9/2020,9:55 AM
us7000bkas,us,10,4.4,1.58E+16,"36 km NNW of Bandar Abbas, Iran",9/9/2020,10:42 AM
us7000bkat,us,10,2.4,1.58E+14,"36 km NNW of Stanley, Idaho",9/9/2020,10:54 AM
us7000bkaw,us,41.17,5.3,1.26E+17,"113 km W of Panguna, Papua New Guinea",9/9/2020,10:57 AM
us7000bkby,us,5,1,6.31E+12,"13 km S of Stonewall Gap, Colorado",9/7/2020,9:40 AM
us7000bkcf,us,138.64,4.7,3.16E+16,"171 km NE of Lospalos, Timor Leste",9/9/2020,2:28 PM
us7000bkcj,us,77.61,4.6,2.51E+16,Kuril Islands,9/9/2020,2:24 PM
us7000bkd8,us,10,2.4,1.58E+14,"35 km NNW of Stanley, Idaho",9/9/2020,4:43 AM
us7000bkfj,us,10,3,6.31E+14,"209 km NW of Nikolski, Alaska",9/9/2020,6:55 AM
us7000bkfs,us,188,4.4,1.58E+16,"47 km ESE of Khorugh, Tajikistan",9/9/2020,4:16 PM
us7000bkg2,us,5,2.4,1.58E+14,"17 km NE of Hermleigh, Texas",9/9/2020,4:25 PM
us7000bkj1,us,76.56,4.1,7.94E+15,"8 km SE of Ricardo Palma, Peru",9/9/2020,6:17 PM
us7000bknn,us,10,4.9,5.01E+16,South Shetland Islands,9/9/2020,8:37 PM
